=== Phase 2: Quantization ===
  model=lordx64/Qwable-v2
  scheme=W4A16
  iters=0
  export_format=auto_round
  output_dir=/root/_work/1/s/auto_quant/output/runs/Qwable-v2-AutoRound-W4A16-RTN/quantized_model
23:03:46 [INFO] Model: lordx64/Qwable-v2
23:03:46 [INFO] Scheme: W4A16 → AutoRound scheme='W4A16'
23:03:46 [INFO] Iters: 0 (RTN)
23:03:46 [INFO] Export format: auto_round
23:03:46 [INFO] Output: /root/_work/1/s/auto_quant/output/runs/Qwable-v2-AutoRound-W4A16-RTN/quantized_model
23:03:46 [INFO] Device map: auto
23:03:46 [INFO] Loading tokenizer...
23:03:47 [INFO] HTTP Request: HEAD https://huggingface.co/lordx64/Qwable-v2/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
23:03:47 [INFO] HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/lordx64/Qwable-v2/5170e818c07703777011f5b96b631cd1051b36bf/config.json "HTTP/1.1 200 OK"
23:03:47 [INFO] HTTP Request: HEAD https://huggingface.co/lordx64/Qwable-v2/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
23:03:47 [INFO] HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/lordx64/Qwable-v2/5170e818c07703777011f5b96b631cd1051b36bf/tokenizer_config.json "HTTP/1.1 200 OK"
23:03:47 [INFO] HTTP Request: GET https://huggingface.co/api/resolve-cache/models/lordx64/Qwable-v2/5170e818c07703777011f5b96b631cd1051b36bf/tokenizer_config.json "HTTP/1.1 200 OK"
23:03:47 [INFO] HTTP Request: HEAD https://huggingface.co/lordx64/Qwable-v2/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
23:03:47 [INFO] HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/lordx64/Qwable-v2/5170e818c07703777011f5b96b631cd1051b36bf/tokenizer_config.json "HTTP/1.1 200 OK"
23:03:47 [INFO] HTTP Request: GET https://huggingface.co/api/models/lordx64/Qwable-v2/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
23:03:47 [INFO] HTTP Request: GET https://huggingface.co/api/models/lordx64/Qwable-v2/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
23:03:47 [INFO] HTTP Request: HEAD https://huggingface.co/lordx64/Qwable-v2/resolve/main/tokenizer.json "HTTP/1.1 302 Found"
23:03:48 [INFO] HTTP Request: HEAD https://huggingface.co/lordx64/Qwable-v2/resolve/main/tokenizer.model "HTTP/1.1 404 Not Found"
23:03:48 [INFO] HTTP Request: HEAD https://huggingface.co/lordx64/Qwable-v2/resolve/main/added_tokens.json "HTTP/1.1 404 Not Found"
23:03:48 [INFO] HTTP Request: HEAD https://huggingface.co/lordx64/Qwable-v2/resolve/main/special_tokens_map.json "HTTP/1.1 404 Not Found"
23:03:48 [INFO] HTTP Request: HEAD https://huggingface.co/lordx64/Qwable-v2/resolve/main/chat_template.jinja "HTTP/1.1 307 Temporary Redirect"
23:03:48 [INFO] HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/lordx64/Qwable-v2/5170e818c07703777011f5b96b631cd1051b36bf/chat_template.jinja "HTTP/1.1 200 OK"
23:03:48 [INFO] HTTP Request: GET https://huggingface.co/api/resolve-cache/models/lordx64/Qwable-v2/5170e818c07703777011f5b96b631cd1051b36bf/chat_template.jinja "HTTP/1.1 200 OK"
23:03:50 [INFO] HTTP Request: GET https://huggingface.co/api/models/lordx64/Qwable-v2 "HTTP/1.1 200 OK"
23:03:50 [INFO] Loading model...
23:03:50 [INFO] HTTP Request: HEAD https://huggingface.co/lordx64/Qwable-v2/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
23:03:50 [INFO] HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/lordx64/Qwable-v2/5170e818c07703777011f5b96b631cd1051b36bf/config.json "HTTP/1.1 200 OK"
23:03:51 [INFO] HTTP Request: HEAD https://huggingface.co/lordx64/Qwable-v2/resolve/main/model.safetensors "HTTP/1.1 404 Not Found"
23:03:51 [INFO] HTTP Request: HEAD https://huggingface.co/lordx64/Qwable-v2/resolve/main/model.safetensors.index.json "HTTP/1.1 307 Temporary Redirect"
23:03:51 [INFO] HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/lordx64/Qwable-v2/5170e818c07703777011f5b96b631cd1051b36bf/model.safetensors.index.json "HTTP/1.1 200 OK"
23:03:51 [INFO] HTTP Request: GET https://huggingface.co/api/resolve-cache/models/lordx64/Qwable-v2/5170e818c07703777011f5b96b631cd1051b36bf/model.safetensors.index.json "HTTP/1.1 200 OK"
23:03:51 [INFO] HTTP Request: GET https://huggingface.co/api/models/lordx64/Qwable-v2/revision/main "HTTP/1.1 200 OK"
